Calibrated sigma = 0.8118 for eps=20.0
Verification: sigma=0.8118 -> eps=20.0004
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-FedRAG eps=20.0] Starting training...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 0] step 0/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.6603
[DP-Client 0] step 2/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.7017
[DP-Client 0] step 4/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.7277
[DP-Client 0] step 6/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.7809
[DP-Client 0] step 8/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.6927
[DP-Client 0] step 10/11, C=0.9905, σ=0.8118092727661133, ‖∇‖=1051.6588
[DP-Client 1] step 0/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1191.9044
[DP-Client 1] step 3/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1192.0642
[DP-Client 1] step 6/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1192.0332
[DP-Client 1] step 9/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1191.9966
[DP-Client 1] step 12/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1192.0665
[DP-Client 1] step 15/16, C=1.1226, σ=0.8118092727661133, ‖∇‖=1191.9348
[DP-Client 2] step 0/22, C=0.9970, σ=0.8118092727661133, ‖∇‖=1058.6403
[DP-Client 2] step 4/22, C=0.9970, σ=0.8118092727661133, ‖∇‖=1058.5997
[DP-Client 2] step 8/22, C=0.9970, σ=0.8118092727661133, ‖∇‖=1058.5771
[DP-Client 2] step 12/22, C=0.9970, σ=0.8118092727661133, ‖∇‖=1058.6342
[DP-Client 2] step 16/22, C=0.9970, σ=0.8118092727661133, ‖∇‖=1058.6473
