
============================================================
[DP Calibration]
  Target ε     = 8.0
  Target δ     = 1e-05
  Num rounds   = 25
  Sampling q   = 0.600 (3/5 clients)
  → Calibrated σ = 1.6701
============================================================

[Verification] σ=1.6701 → ε=8.0089 at α=3.0
               δ=1e-05, rounds=25, q=0.600

!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>

[DP-FedRAG] Starting training with formal privacy guarantee...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 0] step 0/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.5006
[DP-Client 0] step 2/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.5857
[DP-Client 0] step 4/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.6392
[DP-Client 0] step 6/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.7485
[DP-Client 0] step 8/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.5672
[DP-Client 0] step 10/11, C=0.9905, σ=1.6700732421874998, ‖∇‖=2163.4974
[DP-Client 1] step 0/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.0140
[DP-Client 1] step 3/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.3425
[DP-Client 1] step 6/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.2788
[DP-Client 1] step 9/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.2037
[DP-Client 1] step 12/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.3474
[DP-Client 1] step 15/16, C=1.1226, σ=1.6700732421874998, ‖∇‖=2452.0764
[DP-Client 2] step 0/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2177.8596
[DP-Client 2] step 4/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2177.7762
[DP-Client 2] step 8/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2177.7296
[DP-Client 2] step 12/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2177.8471
[DP-Client 2] step 16/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2177.8742
[DP-Client 2] step 20/22, C=0.9970, σ=1.6700732421874998, ‖∇‖=2178.0114
[DP-Client 3] step 0/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.4201
[DP-Client 3] step 3/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.5953
[DP-Client 3] step 6/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.5947
[DP-Client 3] step 9/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.3866
[DP-Client 3] step 12/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.2880
[DP-Client 3] step 15/16, C=1.0732, σ=1.6700732421874998, ‖∇‖=2344.3546
[DP-Client 4] step 0/50, C=1.0495, σ=1.6700732421874998, ‖∇‖=2292.3792
[DP-Client 4] step 10/50, C=1.0495, σ=1.6700732421874998, ‖∇‖=2292.4090
[DP-Client 4] step 20/50, C=1.0495, σ=1.6700732421874998, ‖∇‖=2292.2830
[DP-Client 4] step 30/50, C=1.0495, σ=1.6700732421874998, ‖∇‖=2292.4165
[DP-Client 4] step 40/50, C=1.0495, σ=1.6700732421874998, ‖∇‖=2292.4764
[DP-Client 0] step 0/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8054.2552
[DP-Client 0] step 2/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8055.5136
[DP-Client 0] step 4/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8055.2848
[DP-Client 0] step 6/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8054.2525
[DP-Client 0] step 8/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8055.4255
[DP-Client 0] step 10/11, C=3.6877, σ=1.6700732421874998, ‖∇‖=8055.3477
[DP-Client 1] step 0/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6038.6429
[DP-Client 1] step 3/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6038.7130
[DP-Client 1] step 6/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6038.4529
[DP-Client 1] step 9/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6038.0325
[DP-Client 1] step 12/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6037.3953
[DP-Client 1] step 15/16, C=2.7644, σ=1.6700732421874998, ‖∇‖=6038.1224
[DP-Client 2] step 0/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7376.0271
[DP-Client 2] step 4/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7375.3217
[DP-Client 2] step 8/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7375.2542
[DP-Client 2] step 12/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7375.6971
[DP-Client 2] step 16/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7375.9651
[DP-Client 2] step 20/22, C=3.3767, σ=1.6700732421874998, ‖∇‖=7376.2119
[DP-Client 3] step 0/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8447.5622
[DP-Client 3] step 3/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8448.3723
[DP-Client 3] step 6/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8448.5679
[DP-Client 3] step 9/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8448.2530
[DP-Client 3] step 12/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8448.9680
[DP-Client 3] step 15/16, C=3.8676, σ=1.6700732421874998, ‖∇‖=8447.4111
[DP-Client 4] step 0/50, C=3.3591, σ=1.6700732421874998, ‖∇‖=7337.3499
[DP-Client 4] step 10/50, C=3.3591, σ=1.6700732421874998, ‖∇‖=7338.0746
[DP-Client 4] step 20/50, C=3.3591, σ=1.6700732421874998, ‖∇‖=7336.8572
[DP-Client 4] step 30/50, C=3.3591, σ=1.6700732421874998, ‖∇‖=7336.7406
[DP-Client 4] step 40/50, C=3.3591, σ=1.6700732421874998, ‖∇‖=7338.1117
[DP-Client 0] step 0/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6996.4253
[DP-Client 0] step 2/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6996.6913
[DP-Client 0] step 4/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6995.6533
[DP-Client 0] step 6/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6995.9656
[DP-Client 0] step 8/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6996.3010
[DP-Client 0] step 10/11, C=3.2030, σ=1.6700732421874998, ‖∇‖=6996.5588
[DP-Client 1] step 0/16, C=3.3239, σ=1.6700732421874998, ‖∇‖=7260.3583
[DP-Client 1] step 3/16, C=3.3239, σ=1.6700732421874998, ‖∇‖=7260.2410
[DP-Client 1] step 6/16, C=3.3239, σ=1.6700732421874998, ‖∇‖=7261.2171
